0.000 3640	1.021 1.175 1.403
0.050 6795	1.072 1.368 1.606
0.100 10440	1.118 1.431 1.704
0.150 20033	1.189 1.771 2.216
0.200 24912	1.255 1.847 2.439
0.250 29834	1.293 2.030 2.596
0.300 40295	1.354 2.073 2.440
0.350 50211	1.439 2.323 3.024
0.400 61655	1.447 2.294 2.896
0.450 73713	1.492 2.367 3.352
0.500 123287	1.580 2.619 3.628
0.550 255604	1.840 3.008 4.236
0.600 650463	2.051 3.875 4.695
0.650 1048622	2.045 4.041 6.247
0.700 1564142	2.159 5.513 11.436
0.750 2270576	2.090 4.540 6.854
0.800 3742774	2.158 5.595 10.715
0.850 5450102	2.260 6.785 11.417
0.900 8922868	2.265 7.466 12.258
0.950 29967493	2.434 6.173 8.660
